date,rets,vix,vixann,c,rv,jump
1990-07-12,0.0115872324553532,9.62445767195767e-05,17.06,5.22531610447992e-05,5.2253e-05,0.0
1990-07-13,0.00510407112847996,9.65833664021164e-05,17.09,4.75790951172925e-05,4.7579e-05,0.0
1990-07-16,0.00445495534830482,9.27786044973545e-05,16.75,1.75295914968002e-05,1.753e-05,0.0
1990-07-17,-0.00388339456358757,9.17842592592593e-05,16.66,7.76211418923211e-05,7.7621e-05,0.0
1990-07-18,-0.0090196582731143,0.000118125,18.9,7.36071678841627e-05,7.3607e-05,0.0
1990-07-19,0.00301560115580447,0.000113913227513228,18.56,3.26108047256106e-05,3.2611e-05,0.0
1990-07-20,-0.0102073988205888,8.07860119047619e-05,15.63,8.88587594864625e-05,8.8859e-05,0.0
1990-07-23,-0.0175756351425938,0.000185430687830688,23.68,0.000173842296655467,0.00017384,0.0
1990-07-24,0.00135002129912058,0.000157011937830688,21.79,6.3449364149319e-05,6.3449e-05,0.0
1990-07-25,0.00364718168848189,0.000134800297619048,20.19,1.77046172053623e-05,1.7705e-05,0.0
1990-07-26,-0.00330996094621086,0.00013573664021164,20.26,2.6113407713267e-05,6.8285e-05,4.21716737691228e-05
1990-07-27,-0.00696415022988011,0.000147504761904762,21.12,5.44631400357581e-05,5.4463e-05,0.0
1990-07-30,0.00595214665772001,0.000148064021164021,21.16,7.84353551807351e-05,7.8435e-05,0.0
1990-07-31,0.00168610409483588,0.000147365112433862,21.11,2.5264147080974e-05,2.5264e-05,0.0
1990-08-01,-0.00177048397309763,0.000154857671957672,21.64,3.71506817770229e-05,3.7151e-05,0.0
1990-08-02,-0.0114286958236226,0.000138024107142857,20.43,3.6235733907552e-05,9.7598e-05,6.13627049256569e-05
1990-08-03,-0.0190142730556569,0.000273144047619048,28.74,0.000677344019068752,0.00067734,0.0
1990-08-06,-0.030710947466742,0.00042643125,35.91,0.000149448380838787,0.00064334,0.000493896298313536
1990-08-07,0.00119535023048954,0.000354683366402116,32.75,0.000140595537038641,0.0001406,0.0
1990-08-08,0.0104579223425014,0.000264283366402116,28.27,4.79107708932712e-05,4.7911e-05,0.0
1990-08-09,0.00468826877097075,0.000196716964285714,24.39,3.88780295919261e-05,3.8878e-05,0.0
1990-08-10,-0.0130875642955956,0.00021926669973545,25.75,4.90960704210072e-05,4.9096e-05,0.0
1990-08-13,0.00984645240974038,0.000219096428571429,25.74,0.000112105714090478,0.00011211,0.0
1990-08-14,0.001621869043135,0.000193344047619048,24.18,4.76831767812397e-05,4.7683e-05,0.0
1990-08-15,0.00197218402285464,0.00017968125,23.31,4.85007918059558e-05,4.8501e-05,0.0
1990-08-16,-0.0228130943364468,0.000243937037037037,27.16,5.19326102511138e-05,0.00013881,8.68754939076687e-05
1990-08-17,-0.013813796951756,0.000250628604497355,27.53,4.43688949182805e-05,0.00026778,0.000223415400867975
1990-08-20,0.00207209752050253,0.000231525,26.46,0.000100124125427848,0.00010012,0.0
1990-08-21,-0.0204506104712908,0.000276193783068783,28.9,0.00057729345781623,0.00057729,0.0
1990-08-22,-0.0166354614002133,0.000308631779100529,30.55,9.81207074011116e-05,9.8121e-05,0.0
1990-08-23,-0.0304380387593826,0.000439834953703704,36.47,0.000721517858099806,0.00072152,0.0
1990-08-24,0.0143882722102051,0.000380702678571429,33.93,0.00023379276890981,0.00023379,0.0
1990-08-27,0.0313794606256662,0.000290323048941799,29.63,0.000136603436295654,0.00079681,0.000660205988792583
1990-08-28,-0.000311148451435332,0.000280414814814815,29.12,4.74863661986957e-05,4.7486e-05,0.0
1990-08-29,0.00883001105335483,0.000247904894179894,27.38,5.76268443136693e-05,5.7627e-05,0.0
1990-08-30,-0.0170481652665398,0.000295440509259259,29.89,0.000108024918747557,0.00010802,0.0
1990-08-31,0.0120075670409452,0.000295638227513228,29.9,0.000107795421843611,0.0001078,0.0
1990-09-04,0.00164175673831098,0.000289344047619048,29.58,0.000105315623276275,0.00010532,0.0
1990-09-05,0.00401557344429515,0.000268978306878307,28.52,0.000135425219232211,0.00013543,0.0
1990-09-06,-0.0121890320458215,0.000301400826719577,30.19,6.55856297427677e-05,6.5586e-05,0.0
1990-09-07,0.00913248356327247,0.000272954001322751,28.73,7.99660628352186e-05,7.9966e-05,0.0
1990-09-10,-0.00548813060674833,0.000284667857142857,29.34,0.000122125897194426,0.00012213,0.0
1990-09-11,-0.0018360905775967,0.000266344047619048,28.38,2.61113485583e-05,2.6111e-05,0.0
1990-09-12,0.00466143359370844,0.000261486243386243,28.12,2.7907845910436e-05,2.7908e-05,0.0
1990-09-13,-0.0121338377920666,0.000284473842592593,29.33,5.98255829243346e-05,5.9826e-05,0.0
1990-09-14,-0.00572796933381032,0.000308833862433862,30.56,7.09320511890363e-05,7.0932e-05,0.0
1990-09-17,0.00296249822718005,0.00028875744047619,29.55,3.85845813768928e-05,3.8585e-05,0.0
1990-09-18,0.00260854682227545,0.000274666798941799,28.82,8.78924322495987e-05,8.7892e-05,0.0
1990-09-19,-0.00629725002903633,0.000257041798941799,27.88,2.5990642775066e-05,2.5991e-05,0.0
1990-09-20,-0.0163040167381264,0.000271625529100529,28.66,3.85785885363428e-05,0.00015001,0.000111426526327217
1990-09-21,-0.000513808617598049,0.000298413227513228,30.04,4.70519166382338e-05,4.7052e-05,0.0
1990-09-24,-0.0218547121099464,0.000308833862433862,30.56,0.000209589005240125,0.00020959,0.0
1990-09-25,0.0119769727373327,0.000274476223544974,28.81,5.31952089825224e-05,5.3195e-05,0.0
1990-09-26,-0.0104351041467865,0.000262789715608466,28.19,0.00010065882888083,0.00010066,0.0
1990-09-27,-0.0134978865641603,0.000271815112433862,28.67,0.000176100270812771,0.0001761,0.0
1990-09-28,0.016737895289452,0.000280222255291005,29.11,0.000441559309494451,0.00044156,0.0
1990-10-01,0.0286336571951846,0.000260371560846561,28.06,0.000226270953677973,0.00022627,0.0
1990-10-02,0.000856938876530179,0.000246097354497354,27.28,0.000181806355910605,0.00018181,0.0
1990-10-03,-0.0121608239688956,0.000257410714285714,27.9,9.19467810526157e-05,9.1947e-05,0.0
1990-10-04,0.00413402501944282,0.000250264583333333,27.51,0.000143962329126593,0.00014396,0.0
1990-10-05,-0.00381294619183279,0.000256488921957672,27.85,0.000356195252326562,0.0003562,0.0
1990-10-08,0.00633622395715608,0.000260000529100529,28.04,6.09372061098378e-05,0.00015573,9.47910140645131e-05
1990-10-09,-0.0270959704620398,0.000311873048941799,30.71,0.000132525405386215,0.00013253,0.0
1990-10-10,-0.0155579613348029,0.000321698445767196,31.19,0.00032641281488701,0.00032641,0.0
1990-10-11,-0.0165481664943591,0.000381825529100529,33.98,0.00015923185548921,0.00015923,0.0
1990-10-12,0.0153490057630723,0.000337355687830688,31.94,0.000398373441238822,0.00039837,0.0
1990-10-15,0.0106091238080181,0.000331048148148148,31.64,0.000184953240419762,0.00018495,0.0
1990-10-16,-0.0143156144024631,0.00032708416005291,31.45,0.000104303162809031,0.0001043,0.0
1990-10-17,-0.000535403573223486,0.000325422255291005,31.37,4.62944538718546e-05,4.6294e-05,0.0
1990-10-18,0.0230944920840222,0.00028973544973545,29.6,0.000162463656075824,0.00016246,0.0
1990-10-19,0.0218053995554808,0.000256673148148148,27.86,0.000244330093694271,0.00024433,0.0
1990-10-22,0.00726997653841368,0.000245916964285714,27.27,8.20229432855549e-05,8.2023e-05,0.0
1990-10-23,-0.00765407487230825,0.000251357440476191,27.57,6.63677133003815e-05,6.6368e-05,0.0
1990-10-24,0.000768049192901975,0.00026447037037037,28.28,3.36692434888687e-05,3.3669e-05,0.0
1990-10-25,-0.00780388372066479,0.000278876190476191,29.04,6.35025997171304e-05,6.3503e-05,0.0
1990-10-26,-0.0177600296471921,0.000312686011904762,30.75,7.52507556482382e-05,7.5251e-05,0.0
